city,postcode_range
Rio de Janeiro,20000-001 a 23799-999
Salvador,40000-001 a 42599-999
Fortaleza,60000-001 a 61599-999
Recife,50000-001 a 52999-999
São Luís,65000-001 a 65109-999
São Gonçalo,24400-001 a 24799-999
Maceió,57000-001 a 57099-999
Duque de Caxias,25000-001 a 25499-999
Natal,59000-001 a 59139-999
João Pessoa,58000-001 a 58099-999
Jaboatão dos Guararapes,54000-001 a 54499-999
Aracaju,49000-001 a 49099-999
Serra,29160-001 a 29184-999
Niterói,24000-001 a 24399-999
Campos dos Goytacazes,28000-001 a 28179-999
Macapá,68900-001 a 68914-999
Florianópolis,88000-001 a 88099-999
Vila Velha,29100-001 a 29129-999
Santos,11000-001 a 11249-999
Olinda,53000-001 a 53399-999
São Vicente,59340-000 a 59342-999
Vitória,29000-001 a 29099-999
Caucaia,61600-001 a 61699-999
Paulista,58860-000 a 58864-999
Praia Grande,88990-000 a 88999-999
Guarujá,11400-001 a 11499-999
Camaçari,42800-001 a 42849-999
Parnamirim,56163-000 a 56169-999
Macaé,27900-001 a 27997-999
Magé,25900-001 a 25939-999
Itaboraí,24800-001 a 24889-999
Cabo Frio,28900-001 a 28929-999
Itajaí,88300-001 a 88319-999
Rio Grande,96200-001 a 96224-999
Cabo de Santo Agostinho,54500-001 a 54599-999
Angra dos Reis,23900-001 a 23969-999
Lauro de Freitas,42700-001 a 42799-999
São José de Ribamar,65110-000 a 65129-999
Linhares,29900-001 a 29919-999
Palhoça,88130-001 a 88139-999
Ilhéus,45650-001 a 45674-999
Maricá,24900-001 a 24999-999
Paranaguá,83200-001 a 83254-999
Parnaíba,64200-001 a 64219-999
Rio das Ostras,28890-001 a 28899-999
Porto Seguro,45810-000 a 45819-999
Balneário Camboriú,88330-001 a 88339-999
Santa Rita,65145-000 a 65147-999
Itaguaí,23800-001 a 23859-999
Araruama,28970-001 a 28989-999
São Mateus,29930-001 a 29949-999
Itapipoca,62500-001 a 62529-999
Bragança,68600-000 a 68609-999
Guarapari,29200-001 a 29229-999
Paço do Lumiar,65130-000 a 65137-999
Caraguatatuba,11660-001 a 11679-999
Igarassu,53600-001 a 53689-999
Itanhaém,11740-000 a 11749-999
Aracruz,29190-001 a 29199-999
Valença,45400-000 a 45415-999
Ipojuca,55590-000 a 55599-999
Ubatuba,11680-001 a 11699-999
Saquarema,28990-001 a 28999-999
São Sebastião,57275-000 a 57279-999
Navegantes,88370-001 a 88379-999
Aquiraz,61700-000 a 61759-999
Goiana,55900-000 a 55919-999
Aracati,62800-000 a 62809-999
Ceará-Mirim,59570-000 a 59574-999
Cascavel,62850-000 a 62859-999
Estância,49200-000 a 49219-999
Peruíbe,11750-000 a 11759-999
Araranguá,88900-001 a 88913-999
Cabedelo,58100-001 a 58109-999
Itapema,88220-000 a 88229-999
Camocim,62400-000 a 62409-999
Bertioga,11250-001 a 11299-999
Acaraú,62580-000 a 62589-999
Barreirinhas,65590-000 a 65599-999
Viseu,68620-000 a 68624-999
Guapimirim,25940-001 a 25949-999
Tutóia,65580-000 a 65584-999
Coruripe,57230-000 a 57239-999
Mongaguá,11730-000 a 11739-999
Trairi,62690-000 a 62699-999
Vigia,68780-000 a 68784-999
Beberibe,62840-000 a 62849-999
Capão da Canoa,95555-000 a 95559-999
São Francisco do Sul,89240-000 a 89244-999
Marechal Deodoro,57160-000 a 57179-999
Tramandaí,95590-000 a 95594-999
São Gonçalo do Amarante,62670-000 a 62679-999
Mata de São João,48280-000 a 48289-999
Araioses,65570-000 a 65577-999
Augusto Corrêa,68610-000 a 68616-999
Osório,95520-000 a 95529-999
Sirinhaém,55580-000 a 55589-999
Laguna,88790-000 a 88797-999
Imbituba,88780-000 a 88789-999
Mangaratiba,23860-000 a 23889-999
Casimiro de Abreu,28860-000 a 28889-999
Amontada,62540-000 a 62549-999
Nova Viçosa,45920-000 a 45929-999
Vera Cruz,44470-000 a 44479-999
Paraty,23970-000 a 23999-999
Rosário,65150-000 a 65152-999
Barreiros,55560-000 a 55564-999
São Francisco de Itabapoana,28230-000 a 28249-999
Itarema,62590-000 a 62594-999
Entre Rios,48180-000 a 48279-999
Mucuri,45930-000 a 45939-999
Salinópolis,68721-000 a 68721-999
Armação dos Búzios,28950-001 a 28959-999
Curuçá,68750-000 a 68759-999
Torres,95560-000 a 95567-999
Marataízes,29345-000 a 29349-999
Tijucas,88200-000 a 88209-999
Araquari,89245-000 a 89246-999
Santa Rita,65145-000 a 65147-999
Esplanada,48370-000 a 48389-999
Guaratuba,83280-000 a 83299-999
São João da Barra,28200-000 a 28229-999
Turiaçu,65278-000 a 65278-999
Camamu,45445-000 a 45449-999
Paracuru,62680-000 a 62684-999
Ilhabela,11630-000 a 11659-999
Matinhos,83260-000 a 83279-999
Itaporanga d'Ajuda,49120-000 a 49129-999
Itapemirim,29330-000 a 29344-999
Canguaretama,59190-000 a 59191-999
Touros,59584-000 a 59584-999
Paraipaba,62685-000 a 62689-999
Maragogi,57955-000 a 57959-999
Cururupu,65268-000 a 65268-999
Penha,88385-000 a 88389-999
Macau,59500-000 a 59503-999
Canavieiras,45860-000 a 45864-999
Conceição da Barra,29960-000 a 29969-999
Tracuateua,68647-000 a 68649-999
Iguape,11920-000 a 11924-999
Raposa,65138-000 a 65139-999
Barra dos Coqueiros,49140-000 a 49149-999
Arraial do Cabo,28930-000 a 28939-999
Luís Correia,64220-000 a 64221-999
Santa Vitória do Palmar,96230-000 a 96254-999
Maracanã,68710-000 a 68718-999
Anchieta,29230-000 a 29239-999
Barra Velha,88390-000 a 88394-999
Humberto de Campos,65180-000 a 65189-999
Ituberá,45435-000 a 45435-999
Extremoz,59575-000 a 59577-999
Marapanim,68760-000 a 68769-999
Itacaré,45530-000 a 45539-999
Prado,45980-000 a 45984-999
Santa Cruz Cabrália,45807-000 a 45809-999
Areia Branca,59655-000 a 59659-999
Nísia Floresta,59164-000 a 59167-999
São José do Norte,96225-000 a 96229-999
Pontal do Paraná,83255-000 a 83259-999
Oiapoque,68980-000 a 68989-999
Icatu,65170-000 a 65179-999
Ilha de Itamaracá,53900-000 a 53989-999
Conde,48300-000 a 48309-999
Soure,68870-000 a 68879-999
Cruz,62595-000 a 62597-999
Quissamã,28735-000 a 28739-999
